Helység;jogállása;Megye ;megye székhely;Terület  (hektár);Lakó-népesség;Lakások száma
Aba;város;Fejér;Székesfehérvár;8801;4426;1545
Abádszalók;város;Jász-Nagykun-Szolnok;Kunhegyes;13218;4279;2041
Abaliget;község;Baranya;Pécs;1609;650;241
Abasár;község;Heves;Gyöngyös;2082;2538;1189
Abaújalpár;község;Borsod-Abaúj-Zemplén;Gönc;848;66;58
Abaújkér;község;Borsod-Abaúj-Zemplén;Gönc;1727;631;291
Abaújlak;község;Borsod-Abaúj-Zemplén;Szikszó;706;70;81
Abaújszántó;város;Borsod-Abaúj-Zemplén;Gönc;4739;3062;1213
Abaújszolnok;község;Borsod-Abaúj-Zemplén;Szikszó;867;183;59
Abaújvár;község;Borsod-Abaúj-Zemplén;Gönc;735;250;140
Abda;község;Győr-Moson-Sopron;Győr;1903;3117;1143
Abod;község;Borsod-Abaúj-Zemplén;Edelény;3116;231;137
Abony;város;Pest;Cegléd;12797;14563;6009
Ábrahámhegy;község;Veszprém;Tapolca;1488;423;296
Ács;város;Komárom-Esztergom;Komárom;10392;6771;2722
Acsa;község;Pest;Vác;2694;1416;480
Acsád;község;Vas;Szombathely;1433;651;183
Acsalag;község;Győr-Moson-Sopron;Csorna;1043;493;220
Ácsteszér;község;Komárom-Esztergom;Kisbér;1772;696;277
Adács;község;Heves;Gyöngyös;3794;2642;1221
Ádánd;község;Somogy;Siófok;2951;2125;851
Adásztevel;község;Veszprém;Pápa;837;795;312
Adony;város;Fejér;Dunaújváros;6103;3679;1557
Adorjánháza;község;Veszprém;Devecser;1142;362;195
Adorjás;község;Baranya;Sellye;810;180;62
Ág;község;Baranya;Sásd;1203;189;65
Ágasegyháza;község;Bács-Kiskun;Kecskemét;5587;1894;858
Ágfalva;község;Győr-Moson-Sopron;Sopron;1307;2147;718
Aggtelek;község;Borsod-Abaúj-Zemplén;Putnok;4381;557;241
Agyagosszergény;község;Győr-Moson-Sopron;Kapuvár;1989;936;378
Ajak;város;Szabolcs-Szatmár-Bereg;Kisvárda;2474;3730;1331
Ajka;város;Veszprém;Ajka;9504;28487;12563
Aka;község;Komárom-Esztergom;Kisbér;1809;243;109
Akasztó;község;Bács-Kiskun;Kiskőrös;6488;3333;1557
Alacska;község;Borsod-Abaúj-Zemplén;Kazincbarcika;856;778;281
